canonical_id	organism_guess	functional_category_initial	combined_functional_annotation	Puntaje Extracelular	Score NLS	cluster_50_representative	cluster_50_rep_organism	cluster_50_member_count	swissprot_accession	swissprot_protein_name	swissprot_organism	manual_review_confidence	pident	alnlen	evalue	bits	alphafold_status	alphafold_plddt	structure_interpretation_type	preliminary_review_priority	priority_reason
JAFBBF010000001.1_1965	Chryseobacterium_scophthalmum	nuclease_endonuclease	AHH domin-containing protein [Chryseobacterium] | AHH domin-containing protein [Chryseobacterium] | AHH domin-containing	0.764	0.728	JAFBBF010000001.1_1965	Chryseobacterium_scophthalmum	1											no_SwissProt_hit	needs_broader_search	No SwissProt hit at 50% identity threshold; consider TrEMBL search or Foldseek on CeMbio representative
CP058554.1_3501	Comamonas_piscis	nuclease_endonuclease	DNA/RNA non-specific endonuclease | DNA/RNA non-specific endonuclease [Comamonas piscis] | DNA/RNA non-specific endonucl	0.799	0.887	CP058554.1_3501	Comamonas_piscis	2	Q0IH72	Nuclease EXOG, mitochondrial	Xenopus laevis	moderate_sequence_hit	32.2	172.0	1.603e-17	89.0	found	87.75	homolog_SwissProt_AlphaFold_structure	high_priority_review	AlphaFold homolog structure available (moderate_sequence_hit); structure is of SwissProt homolog, not exact CeMbio protein
CP058553.1_3778	Enterobacter_hormaechei	nuclease_endonuclease	Hypothetical protein | terminase small subunit [Enterobacter roggenkampii] | terminase small subunit [Enterobacter rogge	0.781	0.88	CP058553.1_3778	Enterobacter_hormaechei	1											no_SwissProt_hit	needs_broader_search	No SwissProt hit at 50% identity threshold; consider TrEMBL search or Foldseek on CeMbio representative
NZ_RJVC02000001.1_2698	Lelliottia_amnigena	other_function	Inovirus Gp2 family protein | YagK/YfjJ domain-containing protein [Lelliottia amnigena] | YagK/YfjJ domain-containing pr	0.958	0.727	NZ_RJVC02000001.1_2698	Lelliottia_amnigena	1	P52125	Uncharacterized protein YfjJ	Escherichia coli (strain K12)	weak_but_possible_hit	29.0	193.0	2.218e-17	85.0	pending		SwissProt_homolog_no_structure_yet	medium_priority_review	SwissProt hit present (weak_but_possible_hit); AlphaFold lookup pending or not attempted
CP059139.1_349	Pseudomonas_berkeleyensis	other_function	AlgP family protein | Transcriptional regulatory protein AlgP	0.479	0.75	CP059139.1_349	Pseudomonas_berkeleyensis	1	P15276	Transcriptional regulatory protein AlgP	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	moderate_sequence_hit	38.6	352.0	1.238e-65	232.0	found	61.94	homolog_SwissProt_AlphaFold_structure	high_priority_review	AlphaFold homolog structure available (moderate_sequence_hit); structure is of SwissProt homolog, not exact CeMbio protein
CP058555.1_949	Sphingobacterium_multivorum	other_function	ARID domain-containing protein	0.324	0.682	CP058555.1_949	Sphingobacterium_multivorum	1											no_SwissProt_hit	needs_broader_search	No SwissProt hit at 50% identity threshold; consider TrEMBL search or Foldseek on CeMbio representative
CP058272.1_975	Acinetobacter_guillouiae	phage_related	Hypothetical protein | putative bacteriophage protein [Acinetobacter baumannii SDF] | putative bacteriophage protein [Ac	0.686	0.824	CP058272.1_975	Acinetobacter_guillouiae	1											no_SwissProt_hit	needs_broader_search	No SwissProt hit at 50% identity threshold; consider TrEMBL search or Foldseek on CeMbio representative
NZ_RJVC02000001.1_4210	Lelliottia_amnigena	phage_related	Phage late control D family protein | Late Control D family protein [Enterobacter cloacae]	0.56	0.928	CP058553.1_1743	Enterobacter_hormaechei	3	P21679	Probable baseplate hub protein	Escherichia phage 186	strong_sequence_hit	80.7	385.0	7.518e-206	640.0	not_found		SwissProt_homolog_not_in_AlphaFold_DB	medium_priority_review	SwissProt hit (strong_sequence_hit) but homolog not in AlphaFold DB; consider direct prediction from CeMbio representative sequence
PCOC01000001.1_1229	Ochrobactrum_vermis	phage_related	Phage tail length tape measure family protein | TMP_2 domain-containing protein | CytoplasmicMembrane --> 4 internal hel	0.504	0.936	PCOC01000001.1_1229	Ochrobactrum_vermis	1											no_SwissProt_hit	needs_broader_search	No SwissProt hit at 50% identity threshold; consider TrEMBL search or Foldseek on CeMbio representative
PCOC01000001.1_2548	Ochrobactrum_vermis	phage_related	HK97 gp10 family phage protein | HK97 gp10 family phage protein [Ochrobactrum vermis] | Dynamin N-terminal domain-contai	0.487	0.956	PCOC01000001.1_2548	Ochrobactrum_vermis	1											no_SwissProt_hit	needs_broader_search	No SwissProt hit at 50% identity threshold; consider TrEMBL search or Foldseek on CeMbio representative
NZ_SLYP02000001.1_2596	Sphingomonas_molluscorum	phage_related	Hypothetical protein | HK97 gp10 family phage protein | HK97 family phage protein | Putative membrane protein	0.391	0.879	NZ_SLYP02000001.1_2596	Sphingomonas_molluscorum	1											no_SwissProt_hit	needs_broader_search	No SwissProt hit at 50% identity threshold; consider TrEMBL search or Foldseek on CeMbio representative
CP058554.1_2187	Comamonas_piscis	secretion_system_related	Hypothetical protein | DUF11 domain-containing protein [Acidovorax sp. Leaf160] | DUF11 domain-containing protein [Acido	0.879	0.73	CP058554.1_2187	Comamonas_piscis	1											no_SwissProt_hit	needs_broader_search	No SwissProt hit at 50% identity threshold; consider TrEMBL search or Foldseek on CeMbio representative
CP058553.1_3193	Enterobacter_hormaechei	secretion_system_related	C40 family peptidase | C40 family peptidase [Enterobacter] | NlpC/P60 family protein [Enterobacter hormaechei] | Lipopro	0.955	0.857	JACAWY010000001.1_3587	Pantoea_nemavictus	3	P76190	Murein DD-endopeptidase MepH	Escherichia coli (strain K12)	strong_sequence_hit	54.0	232.0	1.1180000000000001e-69	239.0	found	77.75	homolog_SwissProt_AlphaFold_structure	high_priority_review	AlphaFold homolog structure available (strong_sequence_hit); structure is of SwissProt homolog, not exact CeMbio protein
NZ_RJVC02000001.1_4055	Lelliottia_amnigena	secretion_system_related	C40 family peptidase | C40 family peptidase [Lelliottia amnigena] | C40 family peptidase [Lelliottia amnigena] | Lipopro	0.806	0.931	JACAWY010000001.1_3587	Pantoea_nemavictus	3	P76190	Murein DD-endopeptidase MepH	Escherichia coli (strain K12)	strong_sequence_hit	54.0	232.0	1.1180000000000001e-69	239.0	found	77.75	homolog_SwissProt_AlphaFold_structure	high_priority_review	AlphaFold homolog structure available (strong_sequence_hit); structure is of SwissProt homolog, not exact CeMbio protein
CP058555.1_1061	Sphingobacterium_multivorum	secretion_system_related	Right-handed parallel beta-helix repeat-containing protein | T9SS type A sorting domain-containing protein/ Pectate lyas	0.83	0.684	CP058555.1_1061	Sphingobacterium_multivorum	1	Q5L7M8	Alpha-1,3-galactosidase A	Bacteroides fragilis (strain ATCC 25285 / DSM 2151 / CCUG 4856 / JCM 11019 / LMG 10263 / NCTC 9343 / Onslow / VPI 2553 / EN-2)	weak_but_possible_hit	25.3	335.0	4.479e-25	116.0	pending		SwissProt_homolog_no_structure_yet	medium_priority_review	SwissProt hit present (weak_but_possible_hit); AlphaFold lookup pending or not attempted
NZ_SLYP02000001.1_2393	Sphingomonas_molluscorum	secretion_system_related	PEP-CTERM sorting domain-containing protein | PEP-CTERM sorting domain-containing protein | PEP-CTERM sorting domain-con	0.742	0.715	NZ_SLYP02000001.1_2393	Sphingomonas_molluscorum	1											no_SwissProt_hit	needs_broader_search	No SwissProt hit at 50% identity threshold; consider TrEMBL search or Foldseek on CeMbio representative
NZ_SLYP02000002.1_201	Sphingomonas_molluscorum	secretion_system_related	Hypothetical protein | Hypotetical | Copper resistance protein B | multiple localization sites --> 1 internal helix foun	0.554	0.945	NZ_SLYP02000002.1_201	Sphingomonas_molluscorum	1											no_SwissProt_hit	needs_broader_search	No SwissProt hit at 50% identity threshold; consider TrEMBL search or Foldseek on CeMbio representative
CP058272.1_1133	Acinetobacter_guillouiae	toxin_cytotoxic	RHS repeat-associated core domain-containing protein	0.761	0.86	CP058272.1_1133	Acinetobacter_guillouiae	1	P0DUH5	Double-stranded DNA deaminase toxin A	Burkholderia cenocepacia (strain H111)	weak_but_possible_hit	24.9	1066.0	8.617e-95	348.0	found	79.62	homolog_SwissProt_AlphaFold_structure	medium_priority_review	SwissProt hit present (weak_but_possible_hit); AlphaFold lookup pending or not attempted
JACAWY010000001.1_2931	Pantoea_nemavictus	toxin_cytotoxic	T6SS phospholipase effector Tle1-like catalytic domain-containing protein | DUF2235 domain-containing protein	0.671	0.628	JACAWY010000001.1_2931	Pantoea_nemavictus	1											no_SwissProt_hit	needs_broader_search	No SwissProt hit at 50% identity threshold; consider TrEMBL search or Foldseek on CeMbio representative
CP023272.1_2980	Pseudomonas_lurida	toxin_cytotoxic	Dermonecrotic toxin domain-containing protein | Dermonecrotic toxin N-terminal domain-containing protein	0.912	0.757	CP023272.1_2980	Pseudomonas_lurida	1											no_SwissProt_hit	needs_broader_search	No SwissProt hit at 50% identity threshold; consider TrEMBL search or Foldseek on CeMbio representative
CP023272.1_4464	Pseudomonas_lurida	toxin_cytotoxic	S-type pyocin domain-containing protein | S-type pyocin domain-containing protein [Pseudomonas] | Cytotoxic	0.787	0.956	CP023272.1_4464	Pseudomonas_lurida	1	P00646	Colicin E3	Escherichia coli	weak_but_possible_hit	57.9	91.0	2.8599999999999995e-22	104.0	pending		SwissProt_homolog_no_structure_yet	medium_priority_review	SwissProt hit present (weak_but_possible_hit); AlphaFold lookup pending or not attempted
CP023272.1_5354	Pseudomonas_lurida	toxin_cytotoxic	RHS repeat-associated core domain-containing protein | Type IV secretion protein Rhs | multiple localization sites --> 2	0.729	0.872	CP023272.1_5354	Pseudomonas_lurida	1	P0DUH5	Double-stranded DNA deaminase toxin A	Burkholderia cenocepacia (strain H111)	moderate_sequence_hit	32.2	1263.0	2.313e-187	632.0	found	79.62	homolog_SwissProt_AlphaFold_structure	high_priority_review	AlphaFold homolog structure available (moderate_sequence_hit); structure is of SwissProt homolog, not exact CeMbio protein
CP023272.1_5387	Pseudomonas_lurida	toxin_cytotoxic	Dermonecrotic toxin domain-containing protein | Dermonecrotic toxin N-terminal domain-containing protein	0.842	0.785	CP023272.1_5387	Pseudomonas_lurida	1											no_SwissProt_hit	needs_broader_search	No SwissProt hit at 50% identity threshold; consider TrEMBL search or Foldseek on CeMbio representative
JAFBBF010000001.1_3324	Chryseobacterium_scophthalmum	transport_membrane	TonB-dependent receptor plug domain-containing protein | TonB-dependent receptor plug domain-containing protein [Chryseo	0.675	0.9	JAFBBF010000001.1_3324	Chryseobacterium_scophthalmum	1	T2KM18	TonB-dependent receptor P26	Formosa agariphila (strain DSM 15362 / KCTC 12365 / LMG 23005 / KMM 3901 / M-2Alg 35-1)	weak_but_possible_hit	34.2	111.0	1.355e-10	64.0	pending		SwissProt_homolog_no_structure_yet	medium_priority_review	SwissProt hit present (weak_but_possible_hit); AlphaFold lookup pending or not attempted
JAFBBF010000001.1_3489	Chryseobacterium_scophthalmum	transport_membrane	Hypothetical protein | Hypotetical protein | Hypotetical protein | ABC transporter permease	0.301	0.7	JAFBBF010000001.1_3489	Chryseobacterium_scophthalmum	1											no_SwissProt_hit	needs_broader_search	No SwissProt hit at 50% identity threshold; consider TrEMBL search or Foldseek on CeMbio representative
CP058554.1_1008	Comamonas_piscis	transport_membrane	MMPL family transporter [Mycobacterium sp. MS1601] - Peor que el humbral	0.897	0.727	CP058554.1_1008	Comamonas_piscis	1											no_SwissProt_hit	needs_broader_search	No SwissProt hit at 50% identity threshold; consider TrEMBL search or Foldseek on CeMbio representative
CP058554.1_2444	Comamonas_piscis	transport_membrane	Hypothetical protein | Hypothetical protein | Hypothetical protein | Amino acid transporter transmembrane domain-contain	0.705	0.756	CP058554.1_2444	Comamonas_piscis	1											no_SwissProt_hit	needs_broader_search	No SwissProt hit at 50% identity threshold; consider TrEMBL search or Foldseek on CeMbio representative
